               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.12938,0.0092838,0.0317,0,0,0,0,0.11474,0.0094087,0.031284,0.070288,0.0033013,0.0033013
1,0.12363,0.0099147,0.031102,0,0,0,0,0.11118,0.010065,0.030943,0.040169,0.0065152,0.0065152
2,0.12002,0.010495,0.030624,1.08E-05,0.0026455,2.21E-05,9.02E-06,0.10611,0.010901,0.030487,0.0099296,0.0096091,0.0096091
3,0.10981,0.011792,0.030192,0.0078875,0.54645,0.0238,0.0062396,0.081443,0.013411,0.030296,0.00946,0.00946,0.00946
4,0.095086,0.012059,0.029691,0.61725,0.090943,0.064673,0.020726,0.071731,0.0099396,0.029165,0.00946,0.00946,0.00946
5,0.087232,0.010468,0.028383,0.16946,0.36687,0.2294,0.084321,0.0616,0.0083482,0.02638,0.00928,0.00928,0.00928
6,0.083249,0.0098941,0.026792,0.20659,0.4349,0.33069,0.13286,0.05688,0.0077981,0.024237,0.0091,0.0091,0.0091
7,0.078897,0.0094928,0.025245,0.26322,0.50996,0.39505,0.1546,0.054829,0.007159,0.022646,0.00892,0.00892,0.00892
8,0.076252,0.0091637,0.023896,0.37847,0.5031,0.43919,0.18456,0.05221,0.0067778,0.02106,0.00874,0.00874,0.00874
9,0.074239,0.008858,0.022656,0.38283,0.52666,0.477,0.19838,0.052002,0.0071767,0.019291,0.00856,0.00856,0.00856
10,0.073362,0.0087123,0.021447,0.44846,0.62473,0.55997,0.23278,0.051195,0.0063655,0.017553,0.00838,0.00838,0.00838
11,0.072292,0.0086087,0.020007,0.5049,0.69194,0.59778,0.26154,0.04915,0.0061307,0.016268,0.0082,0.0082,0.0082
12,0.071149,0.0083844,0.018846,0.54317,0.70147,0.62112,0.27262,0.048123,0.0061074,0.015142,0.00802,0.00802,0.00802
13,0.069769,0.0081857,0.017887,0.53816,0.7304,0.64194,0.28631,0.047634,0.0059692,0.014124,0.00784,0.00784,0.00784
14,0.069172,0.0082597,0.017318,0.59691,0.74919,0.66071,0.29693,0.047632,0.0057444,0.013358,0.00766,0.00766,0.00766
15,0.067755,0.0080017,0.016759,0.6498,0.72969,0.69068,0.31064,0.04696,0.0057381,0.012486,0.00748,0.00748,0.00748
16,0.067542,0.008028,0.016089,0.71932,0.69148,0.72228,0.3128,0.047179,0.005945,0.011888,0.0073,0.0073,0.0073
17,0.066101,0.0078597,0.015312,0.7662,0.74011,0.77264,0.35548,0.045857,0.0057544,0.010833,0.00712,0.00712,0.00712
18,0.064634,0.0077388,0.014389,0.80738,0.74935,0.79691,0.37197,0.044839,0.0055073,0.009885,0.00694,0.00694,0.00694
19,0.063652,0.0075659,0.013669,0.85824,0.77762,0.83494,0.38876,0.044249,0.0055068,0.0088972,0.00676,0.00676,0.00676
20,0.063661,0.0076744,0.013284,0.8797,0.8026,0.85314,0.40587,0.044418,0.0053937,0.0082517,0.00658,0.00658,0.00658
21,0.063528,0.0077024,0.012643,0.86974,0.80184,0.86389,0.40227,0.043312,0.0053659,0.0073076,0.0064,0.0064,0.0064
22,0.06264,0.0075529,0.011941,0.91396,0.79975,0.86283,0.4117,0.043056,0.0053716,0.0070275,0.00622,0.00622,0.00622
23,0.062022,0.0074016,0.011333,0.89975,0.81877,0.87899,0.41518,0.043379,0.0054117,0.0061922,0.00604,0.00604,0.00604
24,0.062169,0.0076119,0.011102,0.93383,0.83601,0.88944,0.43174,0.042314,0.0052522,0.0055617,0.00586,0.00586,0.00586
25,0.05979,0.0073848,0.0099857,0.91996,0.82952,0.89219,0.42224,0.043102,0.0053688,0.0053074,0.00568,0.00568,0.00568
26,0.05887,0.0072894,0.0093803,0.94326,0.83847,0.89579,0.43169,0.042095,0.0052488,0.004657,0.0055,0.0055,0.0055
27,0.058281,0.0072058,0.0089585,0.92554,0.86026,0.90016,0.42998,0.04228,0.0052302,0.0046658,0.00532,0.00532,0.00532
28,0.058461,0.0073957,0.0089883,0.93052,0.86509,0.9058,0.45137,0.041093,0.0052124,0.0040706,0.00514,0.00514,0.00514
29,0.059691,0.0073039,0.0095697,0.92605,0.86165,0.90551,0.43636,0.04198,0.0051458,0.0039709,0.00496,0.00496,0.00496
30,0.060098,0.0073689,0.0095051,0.93549,0.87008,0.91308,0.45029,0.041138,0.0051185,0.0037208,0.00478,0.00478,0.00478
31,0.058424,0.0072512,0.0090123,0.93738,0.85674,0.90586,0.44236,0.041737,0.0051848,0.0038526,0.0046,0.0046,0.0046
32,0.057516,0.0071382,0.008503,0.93359,0.87645,0.91834,0.46051,0.040209,0.0050841,0.0038017,0.00442,0.00442,0.00442
33,0.056719,0.007022,0.0082668,0.93723,0.87608,0.9215,0.4648,0.039877,0.0050095,0.0034677,0.00424,0.00424,0.00424
34,0.056507,0.0071041,0.008168,0.94849,0.88194,0.92943,0.46276,0.03984,0.0050067,0.0033719,0.00406,0.00406,0.00406
35,0.058396,0.0070822,0.0086273,0.93888,0.87667,0.92015,0.46719,0.039841,0.0050037,0.003493,0.00388,0.00388,0.00388
36,0.055219,0.007018,0.0074902,0.9396,0.89356,0.93009,0.46741,0.039472,0.004941,0.003299,0.0037,0.0037,0.0037
37,0.054195,0.0068828,0.0072145,0.94664,0.89154,0.92844,0.47571,0.039234,0.0049241,0.0030325,0.00352,0.00352,0.00352
38,0.053464,0.0067904,0.0069166,0.93894,0.88155,0.92303,0.47317,0.039342,0.004979,0.0030843,0.00334,0.00334,0.00334
                  39,            0.051921,           0.0067543,           0.0062516,             0.94635,             0.89574,             0.92733,             0.47623,            0.038774,           0.0049023,           0.0030007,             0.00316,             0.00316,             0.00316
                  40,            0.050916,           0.0066842,            0.005947,             0.94457,             0.89733,              0.9333,             0.48569,            0.038607,             0.00483,           0.0029674,             0.00298,             0.00298,             0.00298
                  41,            0.050289,           0.0065795,           0.0056448,             0.94308,             0.88385,             0.92312,             0.47942,            0.039118,           0.0049567,           0.0030036,              0.0028,              0.0028,              0.0028
                  42,            0.053535,           0.0069538,           0.0069266,             0.95121,             0.89184,             0.92991,             0.47792,            0.038876,           0.0048263,           0.0028151,             0.00262,             0.00262,             0.00262
                  43,            0.053575,           0.0068094,             0.00701,             0.93992,               0.892,             0.93229,             0.47752,             0.03871,           0.0048865,            0.002852,             0.00244,             0.00244,             0.00244
                  44,            0.054172,           0.0068826,           0.0069843,             0.95917,              0.8924,             0.93605,             0.49252,            0.037833,           0.0048233,            0.002588,             0.00226,             0.00226,             0.00226
                  45,            0.052437,           0.0067863,           0.0067238,             0.95459,             0.88749,             0.93183,             0.48585,            0.038233,           0.0048147,           0.0027822,             0.00208,             0.00208,             0.00208
                  46,            0.051756,            0.006629,           0.0063954,             0.95606,             0.90704,              0.9435,             0.49766,            0.037385,           0.0047268,           0.0024516,              0.0019,              0.0019,              0.0019
                  47,            0.051336,           0.0065739,           0.0062596,             0.96346,             0.89073,             0.93867,             0.49739,            0.037228,           0.0047575,           0.0026616,             0.00172,             0.00172,             0.00172
                  48,             0.05101,           0.0066118,            0.006255,             0.94818,               0.899,             0.93949,             0.49151,            0.037509,           0.0047246,           0.0025974,             0.00154,             0.00154,             0.00154
                  49,            0.048735,           0.0064939,           0.0052526,             0.95438,             0.90062,              0.9382,             0.49205,            0.037456,           0.0047737,           0.0025562,             0.00136,             0.00136,             0.00136
